name,url
Brachylophosaurus,https://en.wikipedia.org/wiki/Brachylophosaurus
Brachypodosaurus,https://en.wikipedia.org/wiki/Brachypodosaurus
Brachytrachelopan,https://en.wikipedia.org/wiki/Brachytrachelopan
Bradycneme,https://en.wikipedia.org/wiki/Bradycneme
Brasileosaurus,https://en.wikipedia.org/wiki/Brasileosaurus
Brasilotitan,https://en.wikipedia.org/wiki/Brasilotitan
Bravasaurus,https://en.wikipedia.org/wiki/Bravasaurus
Bravoceratops,https://en.wikipedia.org/wiki/Bravoceratops
Breviceratops,https://en.wikipedia.org/wiki/Breviceratops
Brighstoneus,https://en.wikipedia.org/wiki/Brighstoneus
Brithopus,https://en.wikipedia.org/wiki/Brithopus
Brohisaurus,https://en.wikipedia.org/wiki/Brohisaurus
Brontomerus,https://en.wikipedia.org/wiki/Brontomerus
Brontosaurus,https://en.wikipedia.org/wiki/Brontosaurus
Bruhathkayosaurus,https://en.wikipedia.org/wiki/Bruhathkayosaurus
Buitreraptor,https://en.wikipedia.org/wiki/Buitreraptor
Burianosaurus,https://en.wikipedia.org/wiki/Burianosaurus
Buriolestes,https://en.wikipedia.org/wiki/Buriolestes
Byronosaurus,https://en.wikipedia.org/wiki/Byronosaurus
Caenagnathasia,https://en.wikipedia.org/wiki/Caenagnathasia
Caenagnathus,https://en.wikipedia.org/wiki/Caenagnathus
Caihong,https://en.wikipedia.org/wiki/Caihong
Calamosaurus,https://en.wikipedia.org/wiki/Calamosaurus
Calamospondylus,https://en.wikipedia.org/wiki/Calamospondylus
Callovosaurus,https://en.wikipedia.org/wiki/Callovosaurus
Camarasaurus,https://en.wikipedia.org/wiki/Camarasaurus
Camarillasaurus,https://en.wikipedia.org/wiki/Camarillasaurus
Camelotia,https://en.wikipedia.org/wiki/Camelotia
Camposaurus,https://en.wikipedia.org/wiki/Camposaurus
Camptosaurus,https://en.wikipedia.org/wiki/Camptosaurus
Campylodoniscus,https://en.wikipedia.org/wiki/Campylodoniscus
Canardia,https://en.wikipedia.org/wiki/Canardia
Carcharodontosaurus,https://en.wikipedia.org/wiki/Carcharodontosaurus
Cardiodon,https://en.wikipedia.org/wiki/Cardiodon
Carnotaurus,https://en.wikipedia.org/wiki/Carnotaurus
Caseosaurus,https://en.wikipedia.org/wiki/Caseosaurus
Cathartesaura,https://en.wikipedia.org/wiki/Cathartesaura
Caudipteryx,https://en.wikipedia.org/wiki/Caudipteryx
Cedarosaurus,https://en.wikipedia.org/wiki/Cedarosaurus
Cedarpelta,https://en.wikipedia.org/wiki/Cedarpelta
Cedrorestes,https://en.wikipedia.org/wiki/Cedrorestes
Centemodon,https://en.wikipedia.org/wiki/Centemodon
Centrosaurus,https://en.wikipedia.org/wiki/Centrosaurus
Cerasinops,https://en.wikipedia.org/wiki/Cerasinops
Ceratonykus,https://en.wikipedia.org/wiki/Ceratonykus
Ceratops,https://en.wikipedia.org/wiki/Ceratops
Ceratosaurus,https://en.wikipedia.org/wiki/Ceratosaurus
Ceratosuchops,https://en.wikipedia.org/wiki/Ceratosuchops
Cetiosauriscus,https://en.wikipedia.org/wiki/Cetiosauriscus
Cetiosaurus,https://en.wikipedia.org/wiki/Cetiosaurus
Changchunsaurus,https://en.wikipedia.org/wiki/Changchunsaurus
Changmiania,https://en.wikipedia.org/wiki/Changmiania
Changyuraptor,https://en.wikipedia.org/wiki/Changyuraptor
Chaoyangsaurus,https://en.wikipedia.org/wiki/Chaoyangsaurus
Charonosaurus,https://en.wikipedia.org/wiki/Charonosaurus
Chasmosaurus,https://en.wikipedia.org/wiki/Chasmosaurus
Chebsaurus,https://en.wikipedia.org/wiki/Chebsaurus
Chenanisaurus,https://en.wikipedia.org/wiki/Chenanisaurus
Chialingosaurus,https://en.wikipedia.org/wiki/Chialingosaurus
Chiayusaurus,https://en.wikipedia.org/wiki/Chiayusaurus
